url,active,validated,manually_checked_api,suspected_api,api_working,api_version,error_type
data.gov.uz,False,False,,,,,['HTTPS and HTTP requests failed']
data.grandest.fr,False,False,,,,,['HTTPS and HTTP requests failed']
data.grandtoulouse.fr,False,False,,,,,['HTTPS and HTTP requests failed']
data.gunungkidulkab.go.id,False,False,,,,,['HTTPS and HTTP requests failed']
data.gwd.go.kr,False,False,,,,,['HTTPS and HTTP requests failed']
data.id,False,False,,,,,['HTTPS and HTTP requests failed']
data.iita.org,False,False,,,,,['HTTPS and HTTP requests failed']
data.infocom94.fr,False,False,,,,,['HTTPS and HTTP requests failed']
data.kaohsiung.gov.tw,False,False,,,,,['HTTPS and HTTP requests failed']
data.klp.org.in,False,False,,,,,['HTTPS and HTTP requests failed']
data.ktn.gv.at,False,False,,,,,['HTTPS and HTTP requests failed']
data.lanacion.com.ar,False,False,,,,,['HTTPS and HTTP requests failed']
data.lincoln.ac.uk,False,False,,,,,['HTTPS and HTTP requests failed']
data.ly.gov.tw,False,False,,,,,['HTTPS and HTTP requests failed']
data.lynx-project.eu,False,False,,,,,['HTTPS and HTTP requests failed']
data.maisondelestuaire.org,False,False,,,,,['HTTPS and HTTP requests failed']
data.medicinehat.ca,False,False,,,,,['HTTPS and HTTP requests failed']
data.mos.ru,False,False,,,,,['HTTPS and HTTP requests failed']
data.mosman.nsw.gov.au,False,False,,,,,['HTTPS and HTTP requests failed']
data.murphytx.org,False,False,,,,,['HTTPS and HTTP requests failed']
data.nantes.fr,False,False,,,,,['HTTPS and HTTP requests failed']
data.nationalservice.gov,False,False,,,,,['HTTPS and HTTP requests failed']
data.nicva.org,False,False,,,,,['HTTPS and HTTP requests failed']
data.nj.gov,False,False,,,,,['HTTPS and HTTP requests failed']
data.ohouston.org,False,False,,,,,['HTTPS and HTTP requests failed']
data.opencolorado.org,False,False,,,,,['HTTPS and HTTP requests failed']
data.openpolice.ru,False,False,,,,,['HTTPS and HTTP requests failed']
data.openva.com,False,False,,,,,['HTTPS and HTTP requests failed']
data.payakumbuhkota.go.id,False,False,,,,,['HTTPS and HTTP requests failed']
data.peterborough.gov.uk,False,False,,,,,['HTTPS and HTTP requests failed']
data.pm.go.th,False,False,,,,,['HTTPS and HTTP requests failed']
data.reeep.org,False,False,,,,,['HTTPS and HTTP requests failed']
data.rio.rj.gov.br,False,False,,,,,['HTTPS and HTTP requests failed']
data.sa.edu.au,False,False,,,,,['HTTPS and HTTP requests failed']
data.salzburgerland.com,False,False,,,,,['HTTPS and HTTP requests failed']
data.sandiego.gov,False,False,,,,,['HTTPS and HTTP requests failed']
data.seine-saint-denis.fr,False,False,,,,,['HTTPS and HTTP requests failed']
data.sejong.go.kr,False,False,,,,,['HTTPS and HTTP requests failed']
data.seoul.go.kr,False,False,,,,,['HTTPS and HTTP requests failed']
data.sepa.gov.rs,False,False,,,,,['HTTPS and HTTP requests failed']
data.suomi.fi,False,False,,,,,['HTTPS and HTTP requests failed']
data.taichung.gov.tw,False,False,,,,,['HTTPS and HTTP requests failed']
data.taxpayer.net,False,False,,,,,['HTTPS and HTTP requests failed']
data.telangana.gov.in,False,False,,,,,['HTTPS and HTTP requests failed']
data.tn.gov,False,False,,,,,['HTTPS and HTTP requests failed']
data.ukmin.lt,False,False,,,,,['HTTPS and HTTP requests failed']
data.ulm.de,False,False,,,,,['HTTPS and HTTP requests failed']
data.upf.edu,False,False,,,,,['HTTPS and HTTP requests failed']
data.ville-boissy.fr,False,False,,,,,['HTTPS and HTTP requests failed']
data.ville-sucy.fr,False,False,,,,,['HTTPS and HTTP requests failed']
data.visitprovence.com,False,False,,,,,['HTTPS and HTTP requests failed']
data.weatherfordtx.gov,False,False,,,,,['HTTPS and HTTP requests failed']
data.wellingtonfl.gov,False,False,,,,,['HTTPS and HTTP requests failed']
data.wokingham.gov.uk,False,False,,,,,['HTTPS and HTTP requests failed']
datacvr.virk.dk,False,False,,,,,['HTTPS and HTTP requests failed']
datadriven.lahsa.com,False,False,,,,,['HTTPS and HTTP requests failed']
dataeuropa.gitlab.io,False,False,,,,,['HTTPS and HTTP requests failed']
datafloq.com,False,False,,,,,['HTTPS and HTTP requests failed']
dataforjapan.org,False,False,,,,,['HTTPS and HTTP requests failed']
datagm.org.uk,False,False,,,,,['HTTPS and HTTP requests failed']
datainfolocale.opendatasoft.com,False,False,,,,,['HTTPS and HTTP requests failed']
datainnovation.org,False,False,,,,,['HTTPS and HTTP requests failed']
datakilder.no,False,False,,,,,['HTTPS and HTTP requests failed']
datalocale.fr,False,False,,,,,['HTTPS and HTTP requests failed']
datameti.go.jp,False,False,,,,,['HTTPS and HTTP requests failed']
datanest.fair-play.sk,False,False,,,,,['HTTPS and HTTP requests failed']
datanorthyorkshire.org,False,False,,,,,['HTTPS and HTTP requests failed']
datanova.legroupe.laposte.fr,False,False,,,,,['HTTPS and HTTP requests failed']
datapilot.american.edu,False,False,,,,,['HTTPS and HTTP requests failed']
datapoa.com.br,False,False,,,,,['HTTPS and HTTP requests failed']
datapoint.apa.virginia.gov,False,False,,,,,['HTTPS and HTTP requests failed']
datar.noip.me,False,False,,,,,['HTTPS and HTTP requests failed']
daten.hamburg.de,False,False,,,,,['HTTPS and HTTP requests failed']
dati.asc.regione.umbria.it,False,False,,,,,['HTTPS and HTTP requests failed']
dati.comune.firenze.it,False,False,,,,,['HTTPS and HTTP requests failed']
dati.venezia.it,False,False,,,,,['HTTPS and HTTP requests failed']
datiopen.istat.it,False,False,,,,,['HTTPS and HTTP requests failed']
datos.argentina.gob.ar,False,False,,,,,['HTTPS and HTTP requests failed']
datos.aytolalaguna.es,False,False,,,,,['HTTPS and HTTP requests failed']
datos.diputacionalicante.es,False,False,,,,,['HTTPS and HTTP requests failed']
datos.gijon.es,False,False,,,,,['HTTPS and HTTP requests failed']
datos.jalisco.gob.mx,False,False,,,,,['HTTPS and HTTP requests failed']
datos.misiones.gov.ar,False,False,,,,,['HTTPS and HTTP requests failed']
datos.montevideo.gub.uy,False,False,,,,,['HTTPS and HTTP requests failed']
datos.org.py,False,False,,,,,['HTTPS and HTTP requests failed']
datos.penalolen.cl,False,False,,,,,['HTTPS and HTTP requests failed']
datos.puebla.gob.mx,False,False,,,,,['HTTPS and HTTP requests failed']
datos.transparencia.gob.gt,False,False,,,,,['HTTPS and HTTP requests failed']
datos.tulua.gov.co,False,False,,,,,['HTTPS and HTTP requests failed']
datos.ua.es,False,False,,,,,['HTTPS and HTTP requests failed']
datos.upo.gob.es,False,False,,,,,['HTTPS and HTTP requests failed']
datosabiertos.miraflores.gob.pe,False,False,,,,,['HTTPS and HTTP requests failed']
datosabiertos.msi.gob.pe,False,False,,,,,['HTTPS and HTTP requests failed']
datosabiertos.munlima.gob.pe,False,False,,,,,['HTTPS and HTTP requests failed']
datosabiertos.presidencia.go.cr,False,False,,,,,['HTTPS and HTTP requests failed']
datosabiertos.sanpedro.gob.mx,False,False,,,,,['HTTPS and HTTP requests failed']
datospublicos.org,False,False,,,,,['HTTPS and HTTP requests failed']
delftswa.gitbooks.io,False,False,,,,,['HTTPS and HTTP requests failed']
deped.gov.ph,False,False,,,,,['HTTPS and HTTP requests failed']
des.nh.gov,False,False,,,,,['HTTPS and HTTP requests failed']
developer.matka.fi,False,False,,,,,['HTTPS and HTTP requests failed']
developer.worldbank.org,False,False,,,,,['HTTPS and HTTP requests failed']
dgm.gov.do,False,False,,,,,['HTTPS and HTTP requests failed']
dictionary.cambridge.org,False,False,,,,,['HTTPS and HTTP requests failed']
dise.in,False,False,,,,,['HTTPS and HTTP requests failed']
dmme.virginia.gov,False,False,,,,,['HTTPS and HTTP requests failed']
donnees.ville.quebec.qc.ca,False,False,,,,,['HTTPS and HTTP requests failed']
donnees.ville.sherbrooke.qc.ca,False,False,,,,,['HTTPS and HTTP requests failed']
download.aws.dk,False,False,,,,,['HTTPS and HTTP requests failed']
download.kortforsyningen.dk,False,False,,,,,['HTTPS and HTTP requests failed']
drdsi.jrc.ec.europa.eu,False,False,,,,,['HTTPS and HTTP requests failed']
dtp.cancer.gov,False,False,,,,,['HTTPS and HTTP requests failed']
e-consultaruc.sunat.gob.pe,False,False,,,,,['HTTPS and HTTP requests failed']
e-data.gov.ua,False,False,,,,,['HTTPS and HTTP requests failed']
ec.gc.ca,False,False,,,,,['HTTPS and HTTP requests failed']
eca.knmi.nl,False,False,,,,,['HTTPS and HTTP requests failed']
ecaidata.org,False,False,,,,,['HTTPS and HTTP requests failed']
ecwalleye.org,False,False,,,,,['HTTPS and HTTP requests failed']
edinburghopendata.info,False,False,,,,,['HTTPS and HTTP requests failed']
education.gov.bh,False,False,,,,,['HTTPS and HTTP requests failed']
education.gov.gy,False,False,,,,,['HTTPS and HTTP requests failed']
efahq.goblinmag.com,False,False,,,,,['HTTPS and HTTP requests failed']
egis3.lacounty.gov,False,False,,,,,['HTTPS and HTTP requests failed']
egypt.gov.eg,False,False,,,,,['HTTPS and HTTP requests failed']
eib.opendatasoft.com,False,False,,,,,['HTTPS and HTTP requests failed']
elezioni.interno.it,False,False,,,,,['HTTPS and HTTP requests failed']
elitedatascience.com,False,False,,,,,['HTTPS and HTTP requests failed']
engage.safe.com,False,False,,,,,['HTTPS and HTTP requests failed']
es.linkedin.com,False,False,,,,,['HTTPS and HTTP requests failed']
estadisticas.pr,False,False,,,,,['HTTPS and HTTP requests failed']
etherscan.io,False,False,,,,,['HTTPS and HTTP requests failed']
evaluacion.snc.gob.ve:8080,False,False,,,,,['HTTPS and HTTP requests failed']
examples.opendatasoft.com,False,False,,,,,['HTTPS and HTTP requests failed']
exploredata.gov.ro,False,False,,,,,['HTTPS and HTTP requests failed']
faostat3.fao.org,False,False,,,,,['HTTPS and HTTP requests failed']
fedstat.ru,False,False,,,,,['HTTPS and HTTP requests failed']
