url,api_software,number_of_datasets,number_of_resources,timestamp
https://dataunderground.org,CKAN,43,102,2023-08-14 00:50:47
https://dati.toscana.it,CKAN,5460,22057,2023-08-14 00:54:02
https://dati.trentino.it,CKAN,6555,23144,2023-08-14 00:57:24
https://datos.alcobendas.org,CKAN,173,933,2023-08-14 00:57:29
https://datos.cdmx.gob.mx,CKAN,466,1251,2023-08-14 00:57:37
https://datos.cnbs.gob.hn,CKAN,24,50,2023-08-14 00:57:40
https://datos.edomex.gob.mx,CKAN,69,216,2023-08-14 00:57:58
https://datos.gob.ar,CKAN,1176,5887,2023-08-14 00:59:09
https://datos.gob.bo,CKAN,43,145,2023-08-14 00:59:13
https://datos.gob.cl,CKAN,3744,11233,2023-08-14 00:59:38
https://datos.gob.do,CKAN,910,3539,2023-08-14 00:59:45
https://datos.icane.es,CKAN,358,15647,2023-08-14 01:00:08
https://datosabiertos.ayto-arganda.es,CKAN,964,3329,2023-08-14 01:00:20
https://datosabiertos.bogota.gov.co,CKAN,2199,9306,2023-08-14 01:00:53
https://datosabiertos.dphuesca.es,CKAN,49,78,2023-08-14 01:00:56
https://datosabiertos.malaga.eu,CKAN,1117,2695,2023-08-14 01:01:01
https://datosabiertos.regiondemurcia.es,CKAN,941,2477,2023-08-14 01:01:11
https://datosabiertos.rivasciudad.es,CKAN,64,409,2023-08-14 01:01:14
https://demo.ckan.org,CKAN,1,9,2023-08-14 01:01:16
https://demo.dev.datopian.com,CKAN,15,25,2023-08-14 01:01:18
https://discover.data.vic.gov.au,CKAN,5542,16774,2023-08-14 01:01:57
https://docs.entsoe.eu,CKAN,232,1474,2023-08-14 01:02:01
https://donnees.ville.montreal.qc.ca,CKAN,341,2099,2023-08-14 01:02:05
https://edx.netl.doe.gov,CKAN,17173,29006,2023-08-14 01:04:56
https://epos-msl.uu.nl,CKAN,362,0,2023-08-14 01:05:24
https://geodata.gov.gr,CKAN,248,716,2023-08-14 01:05:31
https://grandest-moissonnage.data4citizen.com,CKAN,7272,40451,2023-08-14 01:06:23
https://haifa.datacity.org.il,CKAN,8,23,2023-08-14 01:06:25
https://hubofdata.ru,CKAN,8212,26021,2023-08-14 01:07:14
https://iatiregistry.org,CKAN,10590,10590,2023-08-14 01:07:58
https://iranopendata.org,CKAN,4389,12521,2023-08-14 01:08:15
https://lincolnshire.ckan.io,CKAN,59,237,2023-08-14 01:08:18
https://maale-adummim.datacity.org.il,CKAN,32,37,2023-08-14 01:08:20
https://molecular-dynamics.atb.uq.edu.au,CKAN,0,0,2023-08-14 01:08:25
https://national-grid-admin.ckan.io,CKAN,104,1931,2023-08-14 01:08:28
https://netanya.datacity.org.il,CKAN,28,91,2023-08-14 01:08:31
https://offenedaten.aachen.de,CKAN,192,657,2023-08-14 01:08:33
https://old.datahub.io,CKAN,11399,27401,2023-08-14 01:09:47
https://open.regina.ca,CKAN,518,2057,2023-08-14 01:09:51
https://opendata-hro.de,CKAN,254,2720,2023-08-14 01:09:55
https://opendata.comune.bari.it,CKAN,114,313,2023-08-14 01:10:01
https://opendata.dumaikota.go.id,CKAN,1856,1865,2023-08-14 01:10:33
https://opendata.eawag.ch,CKAN,203,1047,2023-08-14 01:10:39
https://opendata.eol.org,CKAN,735,2214,2023-08-14 01:10:42
