url,api_software,number_of_datasets,number_of_supported_datasets,timestamp
https://data.winnipeg.ca,Socrata,1180,312,2023-08-15 14:37:33
https://datacatalog.cookcountyil.gov,Socrata,1169,459,2023-08-15 14:37:55
https://datacenter.data.socrata.com,Socrata,46,45,2023-08-15 14:37:58
https://datadiscovery.nlm.nih.gov,Socrata,188,24,2023-08-15 14:38:02
https://datahub.transportation.gov,Socrata,4678,428,2023-08-15 14:39:22
https://dati.lombardia.it,Socrata,5542,3376,2023-08-15 14:40:40
https://discovercorona.data.socrata.com,Socrata,296,88,2023-08-15 14:40:45
https://dot.demo.socrata.com,Socrata,0,0,2023-08-15 14:40:48
https://edmonton.socrata.com,Socrata,2523,1429,2023-08-15 14:41:47
https://evergreen.data.socrata.com,Socrata,557,175,2023-08-15 14:41:54
https://finances.worldbank.org,Socrata,606,56,2023-08-15 14:42:07
https://fortlauderdale.data.socrata.com,Socrata,278,23,2023-08-15 14:42:16
https://gnb.socrata.com,Socrata,436,192,2023-08-15 14:42:28
https://hackomaha.socrata.com,Socrata,17,10,2023-08-15 14:42:31
https://health.data.ny.gov,Socrata,615,357,2023-08-15 14:42:41
https://healthdata.gov,Socrata,4756,195,2023-08-15 14:44:00
https://healthdata.nj.gov,Socrata,277,133,2023-08-15 14:44:06
https://hospitalet-prod.demo.eu.socrata.com,Socrata,102,82,2023-08-15 14:44:10
https://hospitalet.demo.eu.socrata.com,Socrata,0,0,2023-08-15 14:44:12
https://inforegio.azure-westeurope-prod.socrata.com,Socrata,0,0,2023-08-15 14:44:15
https://kingcounty.socrata.com,Socrata,609,220,2023-08-15 14:44:25
https://mchui.demo.eu.socrata.com,Socrata,5,4,2023-08-15 14:44:28
https://mesaaz.data.socrata.com,Socrata,1118,285,2023-08-15 14:44:52
https://michigan.data.socrata.com,Socrata,674,322,2023-08-15 14:45:11
https://ntxapps.demo.socrata.com,Socrata,1092,168,2023-08-15 14:45:36
https://opendata.camden.gov.uk,Socrata,756,409,2023-08-15 14:45:47
https://opendata.cityofhenderson.com,Socrata,167,85,2023-08-15 14:45:53
https://opendata.fcc.gov,Socrata,113,55,2023-08-15 14:45:57
https://opendata.fcgov.com,Socrata,217,56,2023-08-15 14:46:04
https://opendata.howardcountymd.gov,Socrata,510,478,2023-08-15 14:46:12
https://opendata.maryland.gov,Socrata,3244,1395,2023-08-15 14:47:25
https://opendata.ramseycounty.us,Socrata,2034,884,2023-08-15 14:48:17
https://opendata.sandag.org,Socrata,1699,1181,2023-08-15 14:49:12
https://opendata.socrata.com,Socrata,184,165,2023-08-15 14:49:17
https://opendata.usac.org,Socrata,56,24,2023-08-15 14:49:21
https://opendata.utah.gov,Socrata,8043,2154,2023-08-15 14:52:11
https://opengov.cityofdubuque.org,Socrata,,,2023-08-15 14:52:23
https://opennassau.nassaucountyny.gov,Socrata,140,70,2023-08-15 14:52:28
https://performance.seattle.gov,Socrata,1926,945,2023-08-15 14:53:03
https://performance.smcgov.org,Socrata,4516,1181,2023-08-15 14:54:47
https://performance.westsussex.gov.uk,Socrata,635,218,2023-08-15 14:54:53
https://performanceseattle.demo.socrata.com,Socrata,1926,945,2023-08-15 14:55:22
https://piercecounty.data.socrata.com,Socrata,3103,903,2023-08-15 14:56:25
https://ptsd-va.data.socrata.com,Socrata,98,20,2023-08-15 14:56:30
https://rdw.azure-westeurope-prod.socrata.com,Socrata,1345,160,2023-08-15 14:56:50
https://sandbox.demo.socrata.com,Socrata,0,0,2023-08-15 14:56:52
https://sharefulton.fultoncountyga.gov,Socrata,1677,232,2023-08-15 14:57:30
https://snudot.data.socrata.com,Socrata,59,21,2023-08-15 14:57:33
https://soda.demo.socrata.com,Socrata,60,41,2023-08-15 14:57:37
https://splc.demo.socrata.com,Socrata,13,5,2023-08-15 14:57:40
https://stateofdelaware.data.socrata.com,Socrata,374,145,2023-08-15 14:57:48
https://stories-monitoring.demo.eu.socrata.com,Socrata,17,4,2023-08-15 14:57:50
https://tompsc.data.socrata.com,Socrata,34,13,2023-08-15 14:57:54
https://tuscaloosa.data.socrata.com,Socrata,11,11,2023-08-15 14:57:57
https://tyler.partner.socrata.com,Socrata,137,92,2023-08-15 14:58:01
https://tylertech.data.socrata.com,Socrata,24,12,2023-08-15 14:58:05
https://usc.data.socrata.com,Socrata,213,145,2023-08-15 14:58:13
https://www.chattadata.org,Socrata,907,219,2023-08-15 14:58:50
https://www.dallasopendata.com,Socrata,1078,158,2023-08-15 14:59:17
https://www.data.act.gov.au,Socrata,1253,347,2023-08-15 14:59:37
https://www.data.va.gov,Socrata,1930,896,2023-08-15 15:00:19
https://www.dati.friuliveneziagiulia.it,Socrata,614,243,2023-08-15 15:00:32
https://www.datos.gov.co,Socrata,31484,6786,2023-08-15 15:30:04
