url,manually_checked_api,active,error_type
data.bls.gov,,False,['HTTPS and HTTP requests failed']
data.brla.gov,,False,['HTTPS and HTTP requests failed']
data.brooklinema.gov,,False,['HTTPS and HTTP requests failed']
data.cacs.org,,False,['HTTPS and HTTP requests failed']
data.chennevieres.com,,False,['HTTPS and HTTP requests failed']
data.cic.mx,,False,['HTTPS and HTTP requests failed']
data.cityofberkeley.info,,False,['HTTPS and HTTP requests failed']
data.cityofboston.gov,,False,['HTTPS and HTTP requests failed']
data.cityofdeleon.org,,False,['HTTPS and HTTP requests failed']
data.cityofnewyork.us,,False,['HTTPS and HTTP requests failed']
data.cityofsantacruz.com,,False,['HTTPS and HTTP requests failed']
data.civicinfo.ca,,False,['HTTPS and HTTP requests failed']
data.cms.hhs.gov,,False,['HTTPS and HTTP requests failed']
data.cnmc.es,,False,['HTTPS and HTTP requests failed']
data.codeforhouston.com,,False,['HTTPS and HTTP requests failed']
data.coeurcotefleurie.org,,False,['HTTPS and HTTP requests failed']
data.consumerfinance.gov,,False,['HTTPS and HTTP requests failed']
data.cotedor-tourisme.com,,False,['HTTPS and HTTP requests failed']
data.daejeon.go.kr,,False,['HTTPS and HTTP requests failed']
data.datahub.kr,,False,['HTTPS and HTTP requests failed']
data.dcpcsb.org,,False,['HTTPS and HTTP requests failed']
data.digitaliser.dk,,False,['HTTPS and HTTP requests failed']
data.edostate.gov.ng,,False,['HTTPS and HTTP requests failed']
data.enel.com,,False,['HTTPS and HTTP requests failed']
data.estuairedelaseine.fr,,False,['HTTPS and HTTP requests failed']
data.explore.divia.fr,,False,['HTTPS and HTTP requests failed']
data.georgia.gov,,False,['HTTPS and HTTP requests failed']
data.go.jp,,False,['HTTPS and HTTP requests failed']
data.gouv.qc.ca,,False,['HTTPS and HTTP requests failed']
data.gov.bf,,False,['HTTPS and HTTP requests failed']
data.gov.gh,,False,['HTTPS and HTTP requests failed']
data.gov.sa,,False,['HTTPS and HTTP requests failed']
data.gov.uz,,False,['HTTPS and HTTP requests failed']
data.grandest.fr,,False,['HTTPS and HTTP requests failed']
data.grandtoulouse.fr,,False,['HTTPS and HTTP requests failed']
data.gunungkidulkab.go.id,,False,['HTTPS and HTTP requests failed']
data.gwd.go.kr,,False,['HTTPS and HTTP requests failed']
data.id,,False,['HTTPS and HTTP requests failed']
data.iita.org,,False,['HTTPS and HTTP requests failed']
data.infocom94.fr,,False,['HTTPS and HTTP requests failed']
data.kaohsiung.gov.tw,,False,['HTTPS and HTTP requests failed']
data.klp.org.in,,False,['HTTPS and HTTP requests failed']
data.ktn.gv.at,,False,['HTTPS and HTTP requests failed']
data.lanacion.com.ar,,False,['HTTPS and HTTP requests failed']
data.lincoln.ac.uk,,False,['HTTPS and HTTP requests failed']
data.ly.gov.tw,,False,['HTTPS and HTTP requests failed']
data.lynx-project.eu,,False,['HTTPS and HTTP requests failed']
data.maisondelestuaire.org,,False,['HTTPS and HTTP requests failed']
data.medicinehat.ca,,False,['HTTPS and HTTP requests failed']
data.mos.ru,,False,['HTTPS and HTTP requests failed']
data.mosman.nsw.gov.au,,False,['HTTPS and HTTP requests failed']
data.murphytx.org,,False,['HTTPS and HTTP requests failed']
data.nantes.fr,,False,['HTTPS and HTTP requests failed']
data.nationalservice.gov,,False,['HTTPS and HTTP requests failed']
data.nicva.org,,False,['HTTPS and HTTP requests failed']
